Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,0,0,0,300,1126.0,1.17,4.0,0.085,66.58,0.0,66.21
Proposed,bigbuckbunny,0,1,0,300,892.4,4.0,7.12,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,0,2,0,300,941.8,7.12,10.1,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,0,3,1,750,463.6,10.1,10.63,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,0,4,1,750,1052.0,10.63,10.09,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,5,1,750,355.7,10.09,7.1,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,6,1,750,952.1,7.1,8.11,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,7,1,750,1023.8,8.11,8.3,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,8,1,750,960.6,8.3,6.47,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,9,1,750,955.9,6.47,8.29,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,10,1,750,880.2,8.29,9.81,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,11,1,750,1063.0,9.81,9.77,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,12,1,750,934.7,9.77,8.2,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,13,1,750,994.6,8.2,9.13,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,14,1,750,1000.9,9.13,11.1,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,15,1,750,858.9,11.1,12.4,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,16,1,750,1103.0,12.4,12.64,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,17,1,750,966.8,12.64,15.12,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,18,1,750,810.4,15.12,17.63,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,19,1,750,971.9,17.63,19.99,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,20,1,750,704.0,19.99,19.24,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,21,1,750,1036.7,19.24,22.09,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,22,1,750,1087.5,22.09,24.07,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,23,1,750,1111.3,24.07,26.39,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,24,1,750,1138.6,26.39,26.32,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,25,1,750,1073.9,26.32,28.21,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,26,1,750,1065.4,28.21,29.65,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,27,1,750,984.5,29.65,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,28,1,750,824.4,30.0,27.78,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,29,1,750,1037.6,27.78,27.76,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,30,1,750,1055.3,27.76,27.88,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,31,1,750,1126.0,27.88,29.84,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,32,1,750,892.4,29.84,27.63,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,33,1,750,941.8,27.63,28.82,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,34,1,750,463.6,28.82,27.6,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,35,1,750,1052.0,27.6,28.88,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,36,1,750,355.7,28.88,22.72,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,37,1,750,952.1,22.72,24.68,0.0,83.73,0.0,83.73
